t,open,high,low,close,volume,trades
2025-09-02,109222.0,111752.0,108350.0,111225.0,40020.48749,329098
2025-09-03,111225.0,112580.0,110502.0,111670.0,24817.38155,232049
2025-09-04,111670.0,112171.0,109324.0,110741.0,29396.95695,248634
2025-09-05,110740.0,113400.0,110208.0,110646.0,44217.47558,360028
2025-09-06,110649.0,111304.0,109908.0,110139.0,8293.08299,115201
2025-09-07,110138.0,111560.0,110128.0,111102.0,9486.4992,121835
2025-09-08,111101.0,112871.0,110578.0,112035.0,24355.93502,213623
2025-09-09,112035.0,113222.0,110756.0,111563.0,29559.56245,249051
2025-09-10,111563.0,114266.0,110939.0,113954.0,30717.43315,286612
2025-09-11,113955.0,115498.0,113421.0,115489.0,26924.09097,253336
2025-09-12,115489.0,116643.0,114766.0,116023.0,25960.54257,236142
2025-09-13,116022.0,116288.0,115050.0,115908.0,11477.14136,127626
2025-09-14,115908.0,116139.0,115119.0,115276.0,12992.26106,138842
2025-09-15,115276.0,116776.0,114367.0,115370.0,27643.70709,246166
2025-09-16,115370.0,116924.0,114730.0,116761.0,23952.26983,215573
2025-09-17,116761.0,117226.0,114798.0,116466.0,39404.08222,342860
2025-09-18,116468.0,117960.0,116105.0,117110.0,29192.21404,260605
2025-09-19,117111.0,117530.0,115150.0,115674.0,22917.01383,208754
2025-09-20,115675.0,116135.0,115414.0,115686.0,7472.28558,111300
2025-09-21,115687.0,115843.0,115206.0,115278.0,9247.28576,122302
2025-09-22,115284.0,115430.0,111149.0,112638.0,48210.62969,354232
2025-09-23,112639.0,113289.0,111414.0,111976.0,25463.37996,235848
2025-09-24,111975.0,113947.0,110904.0,113277.0,26961.7518,262284
2025-09-25,113277.0,113489.0,108569.0,108962.0,46787.52143,392792
2025-09-26,108963.0,110268.0,108565.0,109614.0,20519.21579,256096
2025-09-27,109615.0,109688.0,109060.0,109599.0,5919.12207,85092
2025-09-28,109600.0,112316.0,109145.0,112130.0,15334.19847,158954
2025-09-29,112130.0,114379.0,111490.0,114274.0,21589.03286,239112
2025-09-30,114272.0,114778.0,112602.0,114036.0,26663.5291,288779
2025-10-01,114037.0,118619.0,113940.0,118572.0,30800.35287,339656
2025-10-02,118573.0,121050.0,118203.0,120516.0,32526.97382,408166
2025-10-03,120516.0,123950.0,119216.0,122266.0,36035.65764,398512
2025-10-04,122268.0,122853.0,121500.0,122455.0,12257.73306,185698
2025-10-05,122456.0,125913.0,122200.0,123570.0,35591.96372,382961
2025-10-06,123570.0,126297.0,123184.0,124711.0,33762.64971,409573
2025-10-07,124711.0,125244.0,120564.0,121401.0,51504.96722,472876
2025-10-08,121400.0,124303.0,121100.0,123385.0,26685.83627,384232
2025-10-09,123384.0,123783.0,119526.0,121615.0,43595.79239,475583
2025-10-10,121615.0,122460.0,100837.0,112761.0,99311.91521,940669
2025-10-11,112729.0,113302.0,109546.0,110592.0,28144.52965,442940
2025-10-12,110593.0,115793.0,109515.0,114940.0,39314.43351,527310
