t,open,high,low,close,volume,trades
2026-06-04 06:00:00,63927.0,64468.0,63861.0,63994.0,1740.94493,34276
2026-06-04 07:00:00,63997.0,64046.0,63456.0,63566.0,2520.10491,37047
2026-06-04 08:00:00,63565.0,63878.0,63212.0,63605.0,2963.29414,39171
2026-06-04 09:00:00,63606.0,63618.0,62680.0,63230.0,3677.18068,48086
2026-06-04 10:00:00,63231.0,63250.0,62266.0,62386.0,3965.43342,49150
2026-06-04 11:00:00,62387.0,62802.0,62160.0,62514.0,3136.88503,43466
2026-06-04 12:00:00,62515.0,63959.0,62360.0,63736.0,6547.47893,57801
2026-06-04 13:00:00,63736.0,64244.0,63045.0,64184.0,7128.15872,66804
2026-06-04 14:00:00,64185.0,64464.0,63750.0,63925.0,3342.89059,51352
2026-06-04 15:00:00,63923.0,64380.0,63662.0,63862.0,2198.99678,41590
2026-06-04 16:00:00,63861.0,63891.0,63418.0,63536.0,2992.87915,40647
2026-06-04 17:00:00,63536.0,63692.0,62935.0,63518.0,4189.18918,46711
2026-06-04 18:00:00,63514.0,64117.0,63108.0,63788.0,3507.95321,44543
2026-06-04 19:00:00,63787.0,64138.0,63499.0,63596.0,3834.17274,39491
2026-06-04 20:00:00,63597.0,63630.0,63138.0,63615.0,3656.90641,34927
2026-06-04 21:00:00,63615.0,63848.0,63071.0,63255.0,3799.27999,37484
2026-06-04 22:00:00,63255.0,63753.0,63160.0,63715.0,2400.61581,32915
2026-06-04 23:00:00,63715.0,63896.0,63352.0,63855.0,2121.73411,25290
2026-06-05 00:00:00,63854.0,63949.0,63373.0,63399.0,1158.31383,27833
2026-06-05 01:00:00,63399.0,63542.0,63017.0,63341.0,2261.22089,33270
2026-06-05 02:00:00,63342.0,63414.0,62556.0,62574.0,2657.92111,38497
2026-06-05 03:00:00,62574.0,62864.0,62293.0,62707.0,3172.90832,35304
2026-06-05 04:00:00,62706.0,63671.0,62440.0,63601.0,3368.97071,36161
2026-06-05 05:00:00,63601.0,63707.0,62222.0,62274.0,4465.38716,39160
2026-06-05 06:00:00,62280.0,62600.0,61095.0,61923.0,9965.0801,73502
2026-06-05 07:00:00,61925.0,63094.0,61350.0,63091.0,4551.06413,54634
2026-06-05 08:00:00,63091.0,63104.0,62260.0,62437.0,2786.55761,34436
2026-06-05 09:00:00,62436.0,63258.0,62421.0,62838.0,3698.35285,36604
2026-06-05 10:00:00,62838.0,62907.0,62350.0,62524.0,1895.36516,25046
2026-06-05 11:00:00,62516.0,62600.0,61929.0,61930.0,2611.88441,30603
2026-06-05 12:00:00,61930.0,62426.0,61579.0,61931.0,4545.21368,48090
2026-06-05 13:00:00,61931.0,62300.0,60685.0,60700.0,5240.02021,56037
2026-06-05 14:00:00,60700.0,61203.0,60304.0,60822.0,9201.79366,79334
2026-06-05 15:00:00,60828.0,61086.0,60006.0,60405.0,8088.38282,67710
2026-06-05 16:00:00,60406.0,61536.0,59738.0,61372.0,12051.61248,95687
2026-06-05 17:00:00,61371.0,61496.0,60630.0,60780.0,4909.6186,47575
2026-06-05 18:00:00,60779.0,60932.0,59107.0,59364.0,8120.51199,71090
2026-06-05 19:00:00,59363.0,60449.0,59100.0,60272.0,7045.90478,67336
2026-06-05 20:00:00,60272.0,61792.0,59909.0,61624.0,12240.25117,70526
2026-06-05 21:00:00,61624.0,61998.0,61436.0,61666.0,4068.06496,40861
2026-06-05 22:00:00,61666.0,61994.0,61204.0,61570.0,9492.57061,55349
2026-06-05 23:00:00,61570.0,61751.0,60482.0,61033.0,6893.36931,45001
2026-06-06 00:00:00,61033.0,61508.0,61013.0,61254.0,2923.39724,31495
2026-06-06 01:00:00,61254.0,61365.0,60931.0,61045.0,1327.49682,22383
2026-06-06 02:00:00,61046.0,61170.0,60650.0,60933.0,1366.52208,22924
2026-06-06 03:00:00,60932.0,60949.0,60498.0,60663.0,1260.84052,24179
2026-06-06 04:00:00,60665.0,60854.0,59459.0,60074.0,6524.57667,55374
2026-06-06 05:00:00,60074.0,61046.0,59587.0,60926.0,7721.4639,46717
2026-06-06 06:00:00,60923.0,61240.0,60656.0,60760.0,4390.88134,32003
2026-06-06 07:00:00,60761.0,61210.0,60706.0,60975.0,1824.4845,17892
2026-06-06 08:00:00,60976.0,61475.0,60855.0,61232.0,1170.46192,21004
2026-06-06 09:00:00,61233.0,61313.0,60858.0,60953.0,1544.93434,20142
2026-06-06 10:00:00,60953.0,60953.0,60176.0,60574.0,2805.96915,33619
2026-06-06 11:00:00,60574.0,60937.0,60521.0,60774.0,1264.24587,18551
2026-06-06 12:00:00,60774.0,61166.0,60603.0,60992.0,1536.61656,25617
2026-06-06 13:00:00,60992.0,61076.0,60672.0,60771.0,1745.31155,22863
2026-06-06 14:00:00,60771.0,60978.0,60744.0,60760.0,1113.80445,23787
2026-06-06 15:00:00,60759.0,60891.0,60323.0,60751.0,2906.12741,31876
2026-06-06 16:00:00,60751.0,60936.0,60462.0,60737.0,1274.18533,21827
2026-06-06 17:00:00,60737.0,60818.0,60458.0,60559.0,2367.49644,21824
2026-06-06 18:00:00,60559.0,60724.0,60382.0,60608.0,1100.11623,17419
2026-06-06 19:00:00,60609.0,60766.0,60514.0,60571.0,704.6564,14268
2026-06-06 20:00:00,60570.0,60730.0,60500.0,60680.0,540.97087,13030
2026-06-06 21:00:00,60681.0,60988.0,60680.0,60722.0,1561.55514,15261
2026-06-06 22:00:00,60723.0,60797.0,60400.0,60518.0,1337.46772,19418
2026-06-06 23:00:00,60516.0,60937.0,60511.0,60861.0,1167.72245,15901
2026-06-07 00:00:00,60860.0,60974.0,60714.0,60750.0,1293.43482,15829
2026-06-07 01:00:00,60749.0,61636.0,60727.0,61455.0,3594.08795,33697
2026-06-07 02:00:00,61455.0,61551.0,61136.0,61480.0,2513.39837,22664
2026-06-07 03:00:00,61480.0,61754.0,61400.0,61686.0,862.68391,15510
2026-06-07 04:00:00,61685.0,61888.0,61463.0,61871.0,1376.39573,18040
2026-06-07 05:00:00,61871.0,62130.0,61630.0,61721.0,1733.82548,24641
2026-06-07 06:00:00,61721.0,62258.0,61599.0,62079.0,1931.72904,25660
2026-06-07 07:00:00,62078.0,62401.0,61972.0,62384.0,834.97275,18156
2026-06-07 08:00:00,62384.0,62955.0,62238.0,62839.0,2105.09211,31120
2026-06-07 09:00:00,62838.0,62879.0,62384.0,62521.0,960.19142,21834
2026-06-07 10:00:00,62521.0,62558.0,62302.0,62360.0,1004.28655,17672
2026-06-07 11:00:00,62359.0,62763.0,62350.0,62615.0,893.61041,16621
2026-06-07 12:00:00,62615.0,62636.0,61558.0,61895.0,4064.83129,42047
2026-06-07 13:00:00,61894.0,61897.0,61646.0,61701.0,1059.39583,21094
2026-06-07 14:00:00,61701.0,62300.0,61692.0,61901.0,1559.32984,26444
2026-06-07 15:00:00,61900.0,62207.0,61661.0,62072.0,1303.32995,20146
2026-06-07 16:00:00,62072.0,62300.0,61938.0,62056.0,1255.04733,17340
2026-06-07 17:00:00,62056.0,62308.0,62024.0,62138.0,999.36424,15829
2026-06-07 18:00:00,62137.0,62284.0,61985.0,61998.0,840.15639,11767
2026-06-07 19:00:00,61998.0,62008.0,61145.0,61300.0,4450.7319,41884
2026-06-07 20:00:00,61299.0,61946.0,61192.0,61851.0,1876.34309,25118
2026-06-07 21:00:00,61851.0,61986.0,61619.0,61749.0,1022.0508,17213
2026-06-07 22:00:00,61750.0,64228.0,61696.0,62833.0,7837.80708,64245
2026-06-07 23:00:00,62834.0,63443.0,62779.0,63309.0,2255.14119,27701
2026-06-08 00:00:00,63309.0,63862.0,63120.0,63612.0,2105.50408,27649
2026-06-08 01:00:00,63613.0,63627.0,62700.0,63192.0,2374.77521,27590
2026-06-08 02:00:00,63191.0,63239.0,62885.0,63109.0,1732.84186,16836
2026-06-08 03:00:00,63105.0,63464.0,62956.0,63100.0,1074.72601,14444
2026-06-08 04:00:00,63100.0,63158.0,62628.0,62661.0,1362.95836,17256
2026-06-08 05:00:00,62660.0,62796.0,62375.0,62739.0,2103.14635,22042
2026-06-08 06:00:00,62739.0,63118.0,62711.0,62960.0,921.9829,16396
2026-06-08 07:00:00,62959.0,63329.0,62781.0,63263.0,1484.12856,21954
2026-06-08 08:00:00,63261.0,63261.0,62959.0,63100.0,631.22099,16700
2026-06-08 09:00:00,63101.0,63575.0,63094.0,63480.0,3275.05201,24510
2026-06-08 10:00:00,63479.0,63541.0,63059.0,63122.0,1323.05288,14911
2026-06-08 11:00:00,63123.0,63854.0,63021.0,63454.0,2293.08325,24118
2026-06-08 12:00:00,63454.0,63927.0,62676.0,63808.0,6011.59426,50667
2026-06-08 13:00:00,63822.0,63921.0,63320.0,63728.0,3069.40862,37507
2026-06-08 14:00:00,63729.0,64066.0,63541.0,63943.0,1503.67337,28757
2026-06-08 15:00:00,63944.0,64196.0,63683.0,63755.0,2238.46195,28121
2026-06-08 16:00:00,63755.0,64030.0,63453.0,63505.0,2000.96916,20973
2026-06-08 17:00:00,63504.0,63630.0,63262.0,63536.0,2008.93465,18788
2026-06-08 18:00:00,63536.0,63665.0,63303.0,63440.0,934.08498,12181
2026-06-08 19:00:00,63441.0,63573.0,63322.0,63349.0,548.27682,13638
2026-06-08 20:00:00,63350.0,63460.0,63143.0,63459.0,882.59406,14625
2026-06-08 21:00:00,63459.0,63835.0,63459.0,63693.0,1193.54701,15287
2026-06-08 22:00:00,63694.0,63694.0,63186.0,63417.0,1276.86561,16609
2026-06-08 23:00:00,63419.0,63586.0,62951.0,63058.0,1981.18886,19307
2026-06-09 00:00:00,63058.0,63151.0,62395.0,62537.0,2648.46901,27302
2026-06-09 01:00:00,62537.0,62856.0,62522.0,62730.0,2155.01826,17771
2026-06-09 02:00:00,62731.0,62851.0,62506.0,62850.0,1663.84738,16084
2026-06-09 03:00:00,62849.0,62947.0,62665.0,62847.0,1269.05796,12364
2026-06-09 04:00:00,62846.0,63417.0,62723.0,63222.0,1501.3151,17564
2026-06-09 05:00:00,63221.0,63514.0,63085.0,63323.0,1797.13589,15930
2026-06-09 06:00:00,63323.0,63500.0,63208.0,63280.0,835.73587,11311
2026-06-09 07:00:00,63280.0,63421.0,62977.0,63178.0,1037.73661,11642
2026-06-09 08:00:00,63177.0,63196.0,62748.0,62823.0,1264.7218,13855
2026-06-09 09:00:00,62824.0,62930.0,62566.0,62687.0,1210.26026,13650
2026-06-09 10:00:00,62688.0,62811.0,62573.0,62764.0,643.30915,10940
2026-06-09 11:00:00,62763.0,62783.0,62461.0,62682.0,1686.06056,13367
2026-06-09 12:00:00,62681.0,62882.0,62403.0,62613.0,1722.91154,15593
2026-06-09 13:00:00,62613.0,62735.0,62136.0,62254.0,3498.08327,27815
2026-06-09 14:00:00,62254.0,62369.0,61140.0,61533.0,5711.31619,53789
2026-06-09 15:00:00,61529.0,61684.0,61003.0,61111.0,4882.27346,38099
2026-06-09 16:00:00,61110.0,61468.0,60765.0,61369.0,5515.31202,48241
2026-06-09 17:00:00,61369.0,61870.0,61369.0,61671.0,3970.04407,32721
2026-06-09 18:00:00,61670.0,61938.0,61566.0,61763.0,1997.34565,17212
2026-06-09 19:00:00,61760.0,62084.0,61691.0,62074.0,1798.96874,19363
2026-06-09 20:00:00,62076.0,62250.0,61926.0,62139.0,871.81666,15323
2026-06-09 21:00:00,62139.0,62153.0,61663.0,61728.0,1538.05889,14481
2026-06-09 22:00:00,61729.0,61950.0,61634.0,61689.0,1194.05341,13059
2026-06-09 23:00:00,61689.0,61855.0,61528.0,61695.0,531.35242,11558
2026-06-10 00:00:00,61699.0,61900.0,61413.0,61889.0,1048.40974,17199
2026-06-10 01:00:00,61888.0,61947.0,61555.0,61684.0,662.81874,16178
2026-06-10 02:00:00,61685.0,61809.0,61201.0,61272.0,1190.79167,16297
2026-06-10 03:00:00,61272.0,61579.0,61259.0,61521.0,1354.67205,12017
2026-06-10 04:00:00,61521.0,61536.0,61160.0,61269.0,1164.63178,10412
2026-06-10 05:00:00,61272.0,61374.0,61043.0,61316.0,1309.11431,11896
2026-06-10 06:00:00,61316.0,61491.0,61111.0,61433.0,716.54306,11705
2026-06-10 07:00:00,61434.0,61777.0,61399.0,61645.0,715.83201,11530
2026-06-10 08:00:00,61650.0,61700.0,61133.0,61230.0,990.65792,15270
2026-06-10 09:00:00,61230.0,61402.0,60733.0,61299.0,2808.35535,21223
2026-06-10 10:00:00,61300.0,61432.0,61124.0,61354.0,795.6315,11893
2026-06-10 11:00:00,61355.0,61414.0,60832.0,61000.0,1737.48262,21168
2026-06-10 12:00:00,61000.0,61902.0,60930.0,61537.0,3813.10095,31030
2026-06-10 13:00:00,61537.0,62436.0,61409.0,62115.0,4468.37077,38171
2026-06-10 14:00:00,62115.0,62241.0,61786.0,62181.0,2680.34964,32827
2026-06-10 15:00:00,62178.0,62827.0,61846.0,62609.0,5848.12687,42690
2026-06-10 16:00:00,62609.0,62621.0,61900.0,62189.0,3079.55393,26211
2026-06-10 17:00:00,62190.0,62343.0,61625.0,61954.0,2821.40007,28464
2026-06-10 18:00:00,61953.0,62130.0,61594.0,61850.0,2252.45072,19562
2026-06-10 19:00:00,61849.0,62052.0,61651.0,61921.0,1552.90586,19972
2026-06-10 20:00:00,61919.0,61933.0,61664.0,61779.0,1606.01852,17227
2026-06-10 21:00:00,61778.0,61779.0,61150.0,61325.0,2993.94229,24304
2026-06-10 22:00:00,61325.0,61571.0,61069.0,61346.0,2276.23348,26301
2026-06-10 23:00:00,61351.0,61578.0,61134.0,61481.0,1350.06003,17373
2026-06-11 00:00:00,61484.0,61976.0,61484.0,61795.0,1772.70372,19782
2026-06-11 01:00:00,61796.0,62345.0,61796.0,62181.0,2122.66784,19436
2026-06-11 02:00:00,62181.0,62278.0,61900.0,62127.0,958.18911,14366
2026-06-11 03:00:00,62127.0,62800.0,61973.0,62659.0,1503.48945,17678
2026-06-11 04:00:00,62659.0,62825.0,62516.0,62692.0,1420.29891,15392
2026-06-11 05:00:00,62692.0,62694.0,62526.0,62574.0,615.63787,10804
2026-06-11 06:00:00,62575.0,62971.0,62508.0,62732.0,1688.64012,17952
2026-06-11 07:00:00,62731.0,62813.0,62574.0,62689.0,716.07492,11201
2026-06-11 08:00:00,62690.0,63026.0,62685.0,62915.0,908.07339,13118
2026-06-11 09:00:00,62915.0,62972.0,62753.0,62895.0,979.17913,11724
2026-06-11 10:00:00,62902.0,63175.0,62772.0,63119.0,1776.25222,16433
2026-06-11 11:00:00,63120.0,63244.0,63007.0,63072.0,1522.85274,14410
2026-06-11 12:00:00,63073.0,63164.0,62475.0,62976.0,3179.49857,31835
2026-06-11 13:00:00,62976.0,63201.0,62648.0,63042.0,1808.33718,26343
2026-06-11 14:00:00,63043.0,63056.0,62701.0,62707.0,1441.00471,28150
2026-06-11 15:00:00,62707.0,62843.0,62510.0,62717.0,1928.39465,25137
2026-06-11 16:00:00,62717.0,62811.0,62530.0,62552.0,1066.24506,17848
2026-06-11 17:00:00,62553.0,63638.0,62314.0,63631.0,7292.29719,49090
2026-06-11 18:00:00,63631.0,63777.0,63306.0,63430.0,2804.78547,30143
2026-06-11 19:00:00,63430.0,63919.0,63369.0,63581.0,3782.34877,29682
2026-06-11 20:00:00,63580.0,63641.0,63240.0,63369.0,2517.10571,14562
2026-06-11 21:00:00,63370.0,63579.0,63369.0,63493.0,729.52066,10218
2026-06-11 22:00:00,63493.0,63650.0,63440.0,63471.0,913.47197,12096
2026-06-11 23:00:00,63471.0,63685.0,63334.0,63621.0,845.79805,12589
2026-06-12 00:00:00,63621.0,63775.0,63501.0,63628.0,725.13061,14604
2026-06-12 01:00:00,63629.0,63629.0,63277.0,63399.0,738.33567,12876
2026-06-12 02:00:00,63400.0,63760.0,63400.0,63592.0,558.51451,9860
2026-06-12 03:00:00,63593.0,63621.0,63322.0,63496.0,510.21306,7821
2026-06-12 04:00:00,63496.0,63846.0,63400.0,63675.0,754.44813,12536
2026-06-12 05:00:00,63675.0,63702.0,63265.0,63328.0,1331.38779,12513
2026-06-12 06:00:00,63329.0,63394.0,62801.0,62947.0,2714.32743,16685
2026-06-12 07:00:00,62948.0,63166.0,62914.0,63062.0,587.21691,9318
2026-06-12 08:00:00,63064.0,63576.0,63064.0,63443.0,1540.55484,13716
2026-06-12 09:00:00,63442.0,63928.0,63410.0,63723.0,2298.50706,17058
2026-06-12 10:00:00,63723.0,63817.0,63552.0,63667.0,832.35749,10223
2026-06-12 11:00:00,63668.0,63865.0,63645.0,63724.0,1462.43874,13273
2026-06-12 12:00:00,63723.0,63740.0,63343.0,63429.0,1086.38567,15447
2026-06-12 13:00:00,63430.0,63506.0,63016.0,63215.0,1726.87418,22983
2026-06-12 14:00:00,63205.0,63985.0,63176.0,63969.0,5596.80723,37335
2026-06-12 15:00:00,63970.0,64383.0,63529.0,63575.0,6442.29742,43406
2026-06-12 16:00:00,63570.0,64011.0,63490.0,63957.0,2941.94198,24189
2026-06-12 17:00:00,63957.0,64093.0,63714.0,63841.0,1210.42074,15798
2026-06-12 18:00:00,63841.0,63909.0,63661.0,63670.0,676.58415,13254
2026-06-12 19:00:00,63670.0,63790.0,63567.0,63567.0,472.08886,11943
2026-06-12 20:00:00,63567.0,63673.0,63375.0,63438.0,834.65604,12593
2026-06-12 21:00:00,63438.0,63618.0,63418.0,63460.0,1043.83309,11295
2026-06-12 22:00:00,63461.0,63670.0,63446.0,63497.0,1094.34961,10408
2026-06-12 23:00:00,63497.0,63571.0,63409.0,63561.0,574.81777,8874
2026-06-13 00:00:00,63560.0,63630.0,63484.0,63584.0,512.18865,8617
2026-06-13 01:00:00,63585.0,63854.0,63585.0,63813.0,437.72666,7752
2026-06-13 02:00:00,63813.0,63815.0,63536.0,63625.0,316.31242,6306
2026-06-13 03:00:00,63626.0,63702.0,63420.0,63510.0,894.49804,6866
2026-06-13 04:00:00,63509.0,63634.0,63453.0,63481.0,847.35263,7433
2026-06-13 05:00:00,63482.0,63579.0,63467.0,63563.0,293.96369,5262
2026-06-13 06:00:00,63564.0,63722.0,63526.0,63710.0,301.54213,5691
2026-06-13 07:00:00,63714.0,63861.0,63650.0,63829.0,662.86489,7584
2026-06-13 08:00:00,63829.0,63910.0,63730.0,63786.0,732.46096,8898
2026-06-13 09:00:00,63786.0,63849.0,63712.0,63713.0,296.72752,4844
2026-06-13 10:00:00,63713.0,63881.0,63705.0,63811.0,555.79908,5875
2026-06-13 11:00:00,63811.0,63965.0,63810.0,63945.0,1421.36716,10235
2026-06-13 12:00:00,63944.0,64209.0,63883.0,64115.0,1199.15306,11317
2026-06-13 13:00:00,64114.0,64219.0,64029.0,64084.0,696.4273,11910
2026-06-13 14:00:00,64084.0,64221.0,64063.0,64207.0,296.35806,9938
2026-06-13 15:00:00,64207.0,64332.0,64174.0,64288.0,680.92435,12298
2026-06-13 16:00:00,64289.0,64298.0,63899.0,64010.0,1612.673,14391
2026-06-13 17:00:00,64011.0,64106.0,63917.0,63957.0,533.74768,8537
2026-06-13 18:00:00,63958.0,64271.0,63953.0,64130.0,697.98981,9173
2026-06-13 19:00:00,64130.0,64315.0,64120.0,64271.0,774.5655,8758
2026-06-13 20:00:00,64272.0,64280.0,64204.0,64263.0,209.28401,6230
2026-06-13 21:00:00,64264.0,64750.0,64201.0,64450.0,1643.92998,15509
2026-06-13 22:00:00,64449.0,64545.0,64350.0,64431.0,880.6945,9247
2026-06-13 23:00:00,64430.0,64574.0,64363.0,64427.0,377.62912,7056
2026-06-14 00:00:00,64427.0,64568.0,64351.0,64544.0,1125.00115,9034
2026-06-14 01:00:00,64544.0,64697.0,64481.0,64555.0,865.23285,9817
2026-06-14 02:00:00,64555.0,64617.0,64445.0,64471.0,524.62912,7337
2026-06-14 03:00:00,64471.0,64529.0,64447.0,64525.0,446.19717,5337
2026-06-14 04:00:00,64526.0,64540.0,64298.0,64313.0,668.02939,6834
2026-06-14 05:00:00,64312.0,64383.0,64275.0,64320.0,247.81263,4968
2026-06-14 06:00:00,64321.0,64461.0,64213.0,64261.0,3455.60842,17595
2026-06-14 07:00:00,64261.0,64435.0,64207.0,64408.0,888.19121,7741
2026-06-14 08:00:00,64409.0,64488.0,64377.0,64438.0,323.71303,5452
2026-06-14 09:00:00,64438.0,64600.0,64283.0,64600.0,988.66187,9092
2026-06-14 10:00:00,64600.0,64655.0,64454.0,64494.0,914.42417,7395
2026-06-14 11:00:00,64494.0,64618.0,64431.0,64518.0,394.42477,5570
2026-06-14 12:00:00,64518.0,64540.0,64274.0,64300.0,644.29549,7765
