t,open,high,low,close,volume,trades
2026-02-05 23:00:00,1869.8,1905.6,1819.8,1825.9,76416.7828,27009
2026-02-06 00:00:00,1825.4,1890.8,1740.7,1870.0,293598.0772,80161
2026-02-06 01:00:00,1870.1,1939.2,1869.7,1930.6,135831.8003,36936
2026-02-06 02:00:00,1930.6,1947.0,1891.3,1906.5,63915.8363,21847
2026-02-06 03:00:00,1906.4,1917.3,1878.8,1890.8,33580.9008,15287
2026-02-06 04:00:00,1890.9,1917.2,1885.0,1907.9,29432.2405,11009
2026-02-06 05:00:00,1907.9,1974.7,1905.6,1957.1,43164.8158,16898
2026-02-06 06:00:00,1957.7,1965.9,1906.4,1907.4,41152.4298,16818
2026-02-06 07:00:00,1907.5,1914.1,1886.7,1898.2,23285.0847,14824
2026-02-06 08:00:00,1898.2,1906.2,1866.0,1873.9,26981.7188,15746
2026-02-06 09:00:00,1873.9,1928.3,1870.5,1918.4,28402.5951,14500
2026-02-06 10:00:00,1918.6,1934.2,1909.5,1926.4,13283.5516,9140
2026-02-06 11:00:00,1926.1,1937.9,1919.3,1932.6,7786.9682,6822
2026-02-06 12:00:00,1932.3,1932.3,1914.4,1920.4,10185.1274,7126
2026-02-06 13:00:00,1920.5,1960.7,1919.0,1949.1,31502.6029,13974
2026-02-06 14:00:00,1949.0,2001.3,1932.5,1976.5,132287.1337,31571
2026-02-06 15:00:00,1976.6,1996.2,1960.0,1978.7,75741.327,26308
2026-02-06 16:00:00,1978.8,2045.9,1970.3,2034.6,108533.0279,28850
2026-02-06 17:00:00,2034.6,2090.1,2026.7,2066.1,114974.4678,28882
2026-02-06 18:00:00,2066.2,2069.0,2030.0,2043.6,56855.4475,20740
2026-02-06 19:00:00,2043.6,2070.0,2032.7,2065.0,35395.4752,20659
2026-02-06 20:00:00,2064.8,2091.7,2042.6,2053.0,71038.9006,29416
2026-02-06 21:00:00,2052.7,2060.6,2041.7,2052.4,25934.4923,17935
2026-02-06 22:00:00,2052.5,2083.9,2045.4,2073.9,24792.9818,11135
2026-02-06 23:00:00,2073.9,2086.7,2048.9,2062.0,29721.3955,11476
2026-02-07 00:00:00,2061.9,2063.4,2035.6,2041.6,33818.3226,13026
2026-02-07 01:00:00,2041.9,2065.4,2031.4,2061.2,18628.7586,6660
2026-02-07 02:00:00,2060.8,2063.7,2047.5,2058.4,17193.4879,6411
2026-02-07 03:00:00,2057.9,2084.5,2057.2,2079.5,17530.6313,9373
2026-02-07 04:00:00,2079.3,2117.8,2077.5,2086.9,73575.6509,18353
2026-02-07 05:00:00,2086.4,2102.7,2077.1,2082.9,16790.0974,10012
2026-02-07 06:00:00,2082.8,2092.5,2046.1,2046.3,48170.9417,11872
2026-02-07 07:00:00,2046.6,2054.8,1993.6,2027.4,81008.3121,17269
2026-02-07 08:00:00,2027.2,2031.6,2014.4,2018.2,21846.7547,7858
2026-02-07 09:00:00,2018.2,2028.7,2004.2,2013.2,8866.6221,5876
2026-02-07 10:00:00,2013.2,2018.5,1998.6,2009.6,6776.2909,5366
2026-02-07 11:00:00,2009.7,2020.0,2006.0,2017.7,7711.8343,4869
2026-02-07 12:00:00,2017.5,2074.3,2016.0,2040.1,35291.8461,14652
2026-02-07 13:00:00,2040.4,2049.6,2027.8,2040.0,8676.2111,6743
2026-02-07 14:00:00,2040.2,2048.0,2008.4,2019.2,25813.8696,9159
2026-02-07 15:00:00,2019.3,2062.3,2013.4,2050.8,20428.6038,10438
2026-02-07 16:00:00,2051.2,2121.0,2012.0,2049.3,377758.2785,79743
2026-02-07 17:00:00,2049.1,2072.0,2031.9,2060.1,19591.0666,10381
2026-02-07 18:00:00,2060.1,2108.7,2058.0,2096.2,39715.7882,15117
2026-02-07 19:00:00,2096.1,2100.0,2082.6,2090.4,8986.0239,8129
2026-02-07 20:00:00,2090.0,2111.5,2083.6,2104.2,18480.5746,8465
2026-02-07 21:00:00,2104.1,2108.9,2096.8,2099.7,16672.5979,7546
2026-02-07 22:00:00,2099.7,2106.5,2086.6,2087.2,8361.8376,6909
2026-02-07 23:00:00,2087.7,2094.4,2072.0,2085.8,13624.4944,6843
2026-02-08 00:00:00,2085.9,2093.6,2075.4,2083.0,9569.2989,6025
2026-02-08 01:00:00,2083.1,2096.5,2081.1,2094.9,7935.6541,4815
2026-02-08 02:00:00,2095.0,2105.9,2081.2,2087.8,9339.7278,4794
2026-02-08 03:00:00,2087.7,2092.3,2076.0,2077.5,6893.9942,4302
2026-02-08 04:00:00,2077.5,2087.3,2065.3,2086.6,9797.702,5652
2026-02-08 05:00:00,2086.5,2087.4,2077.7,2083.6,2981.0376,3464
2026-02-08 06:00:00,2083.5,2087.7,2076.3,2078.3,3151.1288,3546
2026-02-08 07:00:00,2078.2,2083.3,2066.9,2083.2,8012.0094,3789
