symbol,timeframe,vol_mult,entry_ratio,atr_sl_mult,retest_max,use_absorption_filter,n_long,n_short,n_signals,return_pct,win_rate,profit_factor,total_trades
BTC,1h,1.3,0.0,0.5,24,True,15,18,33,-65.30739461900576,32.78688524590164,0.48112662265605705,61
BTC,2h,1.3,0.0,0.5,24,True,18,20,38,5.362306544919097,44.44444444444444,0.9490621447317191,72
BTC,4h,1.3,0.0,0.5,24,True,10,9,19,-67.88002797878808,44.11764705882353,0.5054199384419121,34
ETH,1h,1.3,0.0,0.5,24,True,23,32,55,-5.42236235115989,37.38317757009346,0.6076640729529613,107
ETH,2h,1.3,0.0,0.5,24,True,20,18,38,0.8628767487601267,43.24324324324324,1.0346960989417573,74
ETH,4h,1.3,0.0,0.5,24,True,13,17,30,-12.316644877974934,33.37931034482759,0.4233095707966749,56
BTC,1h,1.3,0.0,0.5,24,False,78,88,166,-203.53296188239665,36.24981797000146,0.5438982417922869,231
BTC,2h,1.3,0.0,0.5,24,False,81,85,166,-206.3142718734748,28.885829180872456,0.4413009345233561,82
BTC,4h,1.3,0.0,0.5,24,False,43,45,88,-204.40222674736418,36.814536340852136,0.46431932459914094,70
ETH,1h,1.3,0.0,0.5,24,False,87,83,170,-10.945573971109745,37.785016286644954,0.647476362905271,307
ETH,2h,1.3,0.0,0.5,24,False,71,85,156,-6.802484533759641,40.625,0.8466292500930019,288
ETH,4h,1.3,0.0,0.5,24,False,43,48,91,-13.862449429484785,37.284533648170004,0.7608228299669284,165
BTC,1h,1.3,0.0,0.5,48,True,19,22,41,-35.4987213283941,37.67123287671233,0.7366728095421311,73
BTC,2h,1.3,0.0,0.5,48,True,24,27,51,20.12682707470549,40.21739130434783,0.9571357687563785,92
BTC,4h,1.3,0.0,0.5,48,True,12,10,22,-50.284346146177086,47.5,0.637322684328165,40
ETH,1h,1.3,0.0,0.5,48,True,31,37,68,-4.243613426899899,40.625,0.7032196781101364,128
ETH,2h,1.3,0.0,0.5,48,True,26,28,54,-1.6505205525448021,40.77669902912621,0.9066158505002003,103
ETH,4h,1.3,0.0,0.5,48,True,16,19,35,-17.282487331854938,30.67855276907001,0.3551739215027987,64
BTC,1h,1.3,0.0,0.5,48,False,82,93,175,-207.21187659738706,35.92144010100667,0.5442506666629442,247
BTC,2h,1.3,0.0,0.5,48,False,85,89,174,-176.36922573658836,41.83121354788842,0.8041073551273433,266
BTC,4h,1.3,0.0,0.5,48,False,44,49,93,-207.78842315734488,37.90187042558959,0.4692931150053961,68
ETH,1h,1.3,0.0,0.5,48,False,95,92,187,-9.662255088769752,39.701492537313435,0.6906233681223031,335
ETH,2h,1.3,0.0,0.5,48,False,75,91,166,-9.203907240284604,40.59405940594059,0.8289317201172595,303
ETH,4h,1.3,0.0,0.5,48,False,44,48,92,-17.04073386119976,38.41169379144063,0.7232621884449577,168
BTC,1h,1.3,0.0,0.5,96,True,23,29,52,-53.258650769302676,37.487922705314006,0.7020751471003556,92
BTC,2h,1.3,0.0,0.5,96,True,27,30,57,74.08073243786711,44.11764705882353,1.1067404291743375,102
BTC,4h,1.3,0.0,0.5,96,True,14,11,25,-62.64649512263687,47.82608695652174,0.5868713058102258,46
ETH,1h,1.3,0.0,0.5,96,True,36,45,81,-6.848318383519897,39.333333333333336,0.6284783193026552,150
