family,strategy,symbol,timeframe,n_signals,n_long,n_short,total_return_pct,winrate_pct,leg_a_return_pct,leg_b_return_pct,leg_a_winrate_pct,leg_b_winrate_pct
fib_retrace,default,BTC,1h,511,247,264,-103.59683597972871,27.64118246687054,-103.59849404211833,-103.5902037301702,31.11111111111111,13.761467889908257
fib_retrace,default,BTC,2h,534,225,309,-102.22956891533235,23.20754716981132,-100.91697910030388,-107.4799281754462,25.0,16.037735849056602
fib_retrace,default,BTC,4h,207,60,147,-109.54678820633049,24.036036036036037,-109.96323104820078,-107.88101683884936,26.666666666666668,13.513513513513514
fib_retrace,default,BTC,1d,55,17,38,-5.064700166609573,37.834101382488484,10.656127238142071,-67.94800978561616,41.935483870967744,21.428571428571427
fib_retrace,default,ETH,1h,571,301,270,-24.525680480475813,29.664408130729377,-25.16607477155982,-21.964103316139777,34.23076923076923,11.398963730569948
fib_retrace,default,ETH,2h,544,255,289,-47.89526404383573,26.78610897784105,-49.289029698559716,-42.32020142493977,30.627306273062732,11.421319796954315
fib_retrace,default,ETH,4h,234,83,151,-32.2246358857999,27.597402597402596,-33.95401865579991,-25.307104805799863,31.25,12.987012987012985
fib_retrace,default,ETH,1d,62,18,44,-6.431046990495989,43.963525835866264,-5.319990360419988,-10.875273510799992,48.57142857142857,25.53191489361702
demon2,mmxm,BTC,1h,0,0,0,0.0,,0.0,0.0,,
demon2,mmxm,BTC,2h,0,0,0,0.0,,0.0,0.0,,
demon2,mmxm,BTC,4h,0,0,0,0.0,,0.0,0.0,,
demon2,mmxm,BTC,1d,0,0,0,0.0,,0.0,0.0,,
demon2,mmxm,ETH,1h,0,0,0,0.0,,0.0,0.0,,
demon2,mmxm,ETH,2h,0,0,0,0.0,,0.0,0.0,,
demon2,mmxm,ETH,4h,0,0,0,0.0,,0.0,0.0,,
demon2,mmxm,ETH,1d,0,0,0,0.0,,0.0,0.0,,
demon2,po3,BTC,1h,433,220,213,-100.757033176081,36.28099173553719,-100.00695840285252,-103.75733226899489,39.66942148760331,22.727272727272727
demon2,po3,BTC,2h,394,192,202,-102.05055131730359,34.20168067226891,-102.33880023562061,-100.89755564403549,37.5,21.008403361344538
demon2,po3,BTC,4h,191,101,90,-107.66255394057588,38.7169401871694,-109.07564100671918,-102.01020567600261,42.57425742574257,23.28767123287671
demon2,po3,BTC,1d,25,10,15,-113.88570261009585,3.076923076923076,-115.62442140321212,-106.93082743763074,0.0,15.384615384615385
demon2,po3,ETH,1h,447,224,223,-8.528204827787702,35.769210636515915,-8.8185812041797,-7.366699322219709,39.698492462311556,20.052083333333336
demon2,po3,ETH,2h,400,202,198,-13.391153085691574,34.497078564875174,-13.740672919159557,-11.993073751819642,38.13559322033898,19.943019943019944
demon2,po3,ETH,4h,196,106,90,-19.570617924967873,28.141195674352176,-20.077441996759873,-17.543321637799878,31.03448275862069,16.56804733727811
demon2,po3,ETH,1d,32,14,18,6.490556572564012,43.323076923076925,6.71740339844001,5.58316926906002,46.15384615384615,32.0
demon2,power_flow,BTC,1h,4159,1680,2479,-110.33376853688685,22.30263157894737,-111.34705653646444,-106.28061653857648,26.31578947368421,6.25
demon2,power_flow,BTC,2h,3496,1536,1960,-109.77648860011766,28.199617521172932,-111.24587051243702,-103.89896095084022,32.91139240506329,9.352517985611511
demon2,power_flow,BTC,4h,1748,768,980,-15.504165443710704,25.10928961748634,-110.97535619371253,366.3805975562967,27.083333333333332,17.21311475409836
demon2,power_flow,BTC,1d,292,128,164,-103.26698272869288,35.590062111801245,-101.53065012900846,-110.2123131274306,39.130434782608695,21.428571428571427
demon2,power_flow,ETH,1h,3703,936,2767,-4.686808358955856,32.59581581729233,-2.626117537039889,-12.929571646619728,39.010989010989015,6.935123042505594
demon2,power_flow,ETH,2h,2956,1260,1696,-2.384160334691796,35.858280753568714,0.11217901658018832,-12.369517739779736,41.8848167539267,11.752136752136751
demon2,power_flow,ETH,4h,1478,630,848,-3.6813210373958443,37.347963751501254,-5.772528093659866,4.683507187660246,42.63565891472868,16.19718309859155
demon2,power_flow,ETH,1d,247,105,142,-26.252894135763906,39.391304347826086,-31.838947420819906,-3.9086809955398967,40.0,36.95652173913043
fvg_mtf,ifvg,BTC,1h,43,20,23,14.041092954667231,51.15384615384615,23.379814821215465,-23.31379451152572,57.692307692307686,25.0
fvg_mtf,ifvg,BTC,2h,200,81,119,66.10796420912976,38.846052976658804,68.73158177894881,55.61349392985356,44.086021505376344,17.88617886178862
fvg_mtf,ifvg,BTC,4h,46,27,19,387.5511091681649,41.83712121212122,510.0514220378142,-102.4501423104324,51.515151515151516,3.125
fvg_mtf,ifvg,BTC,1d,19,7,12,63.326448283024895,30.424242424242426,76.8861894306792,9.087483692407684,36.36363636363637,6.666666666666667
fvg_mtf,ifvg,ETH,1h,42,18,24,-2.26844356769998,31.76556776556777,-2.4609981934199774,-1.4982250648199884,37.142857142857146,10.256410256410255
fvg_mtf,ifvg,ETH,2h,153,70,83,12.55595422761607,36.23493975903615,15.24663099938009,1.7932471405599903,42.168674698795186,12.5
fvg_mtf,ifvg,ETH,4h,39,19,20,9.684827361180034,44.18064516129032,12.303802134400033,-0.7910717316999725,52.0,12.903225806451612
fvg_mtf,ifvg,ETH,1d,21,7,14,6.801051022480001,49.42857142857143,9.513953150720003,-4.050557490480004,60.0,7.142857142857142
fvg_mtf,fvg,BTC,1h,170,77,93,-29.30910112177395,36.03846153846154,-24.36821401874315,-49.07264953389714,40.0,20.192307692307693
fvg_mtf,fvg,BTC,2h,702,355,347,-102.89751289466327,32.732732732732735,-102.0840769130194,-106.15125682123873,38.88888888888889,8.108108108108109
