window,regime,symbol,timeframe,candles,n_signals,allin_1to2_pf,allin_1to2_wr,allin_1to2_ret,allin_1to2_mdd,allin_1to2_trades,allin_1to2p5_pf,allin_1to2p5_wr,allin_1to2p5_ret,allin_1to2p5_mdd,allin_1to2p5_trades
W1 2019Q3-2020Q4,Bull (early COVID recovery),BTC,1h,11504,142,0.7918108725876473,38.73873873873874,-32.049891714094976,48.336853311481406,112,0.7555206196433253,35.23809523809524,-40.872699680661306,54.82047604985543,105
W1 2019Q3-2020Q4,Bull (early COVID recovery),ETH,1h,9594,112,1.051439824951317,36.95652173913043,0.8855092400000012,2.0852735693584386,93,0.9316473722568575,31.818181818181817,0.2106758949999994,2.078294140461014,89
W1 2019Q3-2020Q4,Bull (early COVID recovery),BTC,2h,5753,62,0.6333068145239067,32.075471698113205,-42.87367684839701,46.86792371859,53,0.6519775978122857,32.075471698113205,-40.86843920760804,45.89634976367142,53
W1 2019Q3-2020Q4,Bull (early COVID recovery),ETH,2h,4798,50,1.4890524186108125,46.51162790697674,2.1473114250000025,1.1998608421076151,44,1.8418901061295563,44.73684210526316,3.1548369049999976,1.2682589488785823,39
W1 2019Q3-2020Q4,Bull (early COVID recovery),BTC,4h,2877,48,2.485423308479997,56.25,89.79484570484973,18.754439532956912,32,2.2929988247644557,46.875,91.27094409160345,19.022637671677767,32
W1 2019Q3-2020Q4,Bull (early COVID recovery),ETH,4h,2400,23,2.496124270329695,56.25,2.2830138450000015,0.691526363369845,16,2.853406415928487,53.333333333333336,2.828209255000001,0.6922202979320001,15
W2 2021Q1-2022Q1,Bull (late) + Crash start,BTC,1h,10897,92,0.4864686722676745,33.33333333333333,-120.97170943269506,123.11773124841312,25,0.21238556119923702,25.0,-128.83393168014692,142.03124555171797,17
W2 2021Q1-2022Q1,Bull (late) + Crash start,ETH,1h,10897,98,1.6476289985307337,48.0,25.658476605000036,9.02858082837266,75,1.3516216386504876,39.436619718309856,15.799500850000026,14.856300357083565,71
W2 2021Q1-2022Q1,Bull (late) + Crash start,BTC,2h,5449,45,0.9472641133709415,32.432432432432435,-14.170666930990064,64.70284647061195,37,1.161699054212455,32.432432432432435,45.85419022739888,62.63842466259787,37
W2 2021Q1-2022Q1,Bull (late) + Crash start,ETH,2h,5449,37,0.7844402555065281,40.625,-8.547217199999972,26.419688400565594,32,0.8285906942613459,35.483870967741936,-6.9311345699999904,24.38264462113297,31
W2 2021Q1-2022Q1,Bull (late) + Crash start,BTC,4h,2725,21,1.3545707393295108,43.75,45.607894462938205,85.01531572734807,16,1.4553197884571323,38.46153846153847,60.78136109633131,101.47121700926989,13
W2 2021Q1-2022Q1,Bull (late) + Crash start,ETH,4h,2725,17,0.7575127095449251,38.46153846153847,-4.791797694999995,17.03125327305713,13,0.9018050640525997,38.46153846153847,-1.9404327000000012,16.33891360365886,13
W3 2022Q2-2023Q3,"Bear (FTX collapse, bottom)",BTC,1h,10921,146,1.7567472583217931,52.77777777777778,199.7190836196097,17.462618307577134,108,1.7092801175978172,46.728971962616825,208.40216911943878,18.396319391101162,108
W3 2022Q2-2023Q3,"Bear (FTX collapse, bottom)",ETH,1h,10921,163,0.7938329985306116,29.838709677419356,-7.7754427249999685,15.27625116722486,125,0.8431315530303817,29.268292682926827,-5.925039114999972,15.519546315098696,124
W3 2022Q2-2023Q3,"Bear (FTX collapse, bottom)",BTC,2h,5461,93,0.8666031931157736,34.78260869565217,-29.513808349518676,49.58484331740444,69,0.8311386734597564,33.87096774193548,-34.60658953388068,68.38229847222674,62
W3 2022Q2-2023Q3,"Bear (FTX collapse, bottom)",ETH,2h,5461,81,0.8549769945627177,36.84210526315789,-3.760358015000004,10.242893806799813,58,0.8354139869469644,33.9622641509434,-4.238544815000016,9.018136936722275,54
W3 2022Q2-2023Q3,"Bear (FTX collapse, bottom)",BTC,4h,2731,49,1.132440397950243,29.411764705882355,35.603618702728504,41.915461053746014,35,1.0961830862824282,26.666666666666668,29.021255710818405,38.91697528127121,31
W3 2022Q2-2023Q3,"Bear (FTX collapse, bottom)",ETH,4h,2731,36,2.0404688887651288,51.85185185185185,10.618865849999992,3.4685992411736986,27,1.4072125831153872,38.46153846153847,5.038246514999989,5.69689756915701,26
W4 2023Q4-2024Q5,"Range (pre-halving, ETF)",BTC,1h,10249,135,0.6377106064609775,43.58974358974359,-102.6552173842598,102.59994058645844,79,0.6301957619063342,41.9753086419753,-115.96182259467713,114.5389532147249,82
W4 2023Q4-2024Q5,"Range (pre-halving, ETF)",ETH,1h,10249,129,1.3042596732024747,44.565217391304344,9.798620410000012,6.384522835395294,93,1.415755599304949,44.18604651162791,12.882463935000038,6.2318047201597455,87
W4 2023Q4-2024Q5,"Range (pre-halving, ETF)",BTC,2h,5125,88,0.28615339952952706,33.33333333333333,-130.55247011693615,132.21753472136513,43,0.3297233496947153,33.33333333333333,-124.91637829850784,126.2742842032227,43
W4 2023Q4-2024Q5,"Range (pre-halving, ETF)",ETH,2h,5125,67,0.8447138603259406,31.818181818181817,-4.949076289999989,11.370562246530966,45,0.7458104343355745,30.23255813953488,-7.894328414999978,13.12657281552265,44
W4 2023Q4-2024Q5,"Range (pre-halving, ETF)",BTC,4h,2563,38,0.5668111925328803,44.827586206896555,-66.9451343505513,86.11226891404968,30,0.6639683695364393,46.42857142857143,-53.64804848188687,76.7278591828223,29
W4 2023Q4-2024Q5,"Range (pre-halving, ETF)",ETH,4h,2563,31,1.246107178385175,38.095238095238095,2.9316380450000135,5.624492172745095,21,0.8131310450353106,35.0,-2.331223544999993,10.749753207571208,20
W5 2024Q6-2025Q7,"Bull (ETF approved, late)",BTC,1h,10201,108,0.09321544923051037,46.15384615384615,-119.546045303214,122.15835811754721,14,0.09864916822002116,50.0,-100.82901365583088,100.93981064636215,13
W5 2024Q6-2025Q7,"Bull (ETF approved, late)",ETH,1h,10201,114,1.2586485760848873,45.55555555555556,12.830095015000007,14.430891130177805,90,1.307227588716676,45.45454545454545,14.876642999999982,15.057948709048608,88
W5 2024Q6-2025Q7,"Bull (ETF approved, late)",BTC,2h,5101,61,0.37552960757390014,47.368421052631575,-120.00243291632356,121.13568422338781,20,0.21396795632029147,40.0,-111.32852624342067,112.95897773564845,16
W5 2024Q6-2025Q7,"Bull (ETF approved, late)",ETH,2h,5101,50,1.4593128818937922,45.45454545454545,15.063428515000012,7.029321439910852,45,1.3566600128359407,38.095238095238095,13.081971004999996,8.98139307744505,43
W5 2024Q6-2025Q7,"Bull (ETF approved, late)",BTC,4h,2551,38,0.7958487195407326,34.375,-50.34084728761922,82.68047951631563,32,0.5928275535148798,25.925925925925924,-102.03120951715736,102.27128332540936,28
W5 2024Q6-2025Q7,"Bull (ETF approved, late)",ETH,4h,2551,29,0.6141983781463012,28.57142857142857,-9.481103959999983,13.386816876010185,21,0.7241835881880393,30.0,-6.433410494999981,12.705125393125977,20
W6 2025Q8-2026Q9,Mixed (recent 2025-26),BTC,1h,7321,94,0.5479826041509289,24.324324324324326,-110.82074101394343,111.01492058467568,38,0.5783910307415698,21.62162162162162,-112.03419977633595,111.67085581954714,38
W6 2025Q8-2026Q9,Mixed (recent 2025-26),ETH,1h,7321,103,0.6060989670208404,26.38888888888889,-12.477396585000015,12.869990149153427,73,0.5898701049440735,23.943661971830984,-13.054080700000013,13.44654372256544,72
W6 2025Q8-2026Q9,Mixed (recent 2025-26),BTC,2h,3661,46,1.6763682564195936,52.77777777777778,176.25265283795423,39.96853810549979,37,1.9981992934544224,52.94117647058824,257.3671218645759,38.73567298542068,35
W6 2025Q8-2026Q9,Mixed (recent 2025-26),ETH,2h,3661,57,0.9925514180547919,37.83783783783784,-0.1204378250000127,7.029145568333596,37,0.9789392041381233,37.83783783783784,-0.34053682500000376,7.057405647959366,37
W6 2025Q8-2026Q9,Mixed (recent 2025-26),BTC,4h,1831,16,0.253913682428783,16.666666666666664,-107.80709959428793,107.21540892743542,7,0.18181187317596498,16.666666666666664,-118.62325599674692,118.86159049749978,7
W6 2025Q8-2026Q9,Mixed (recent 2025-26),ETH,4h,1831,26,1.6229152506009503,52.63157894736842,6.862916594999987,4.877153119917326,19,1.6523801196680026,43.75,6.289488679999996,6.194037565116846,16
