window,symbol,candles,n_signals,allin_1to2_pf,allin_1to2_wr,allin_1to2_ret,allin_1to2_mdd,allin_1to2_trades,allin_1to2p5_pf,allin_1to2p5_wr,allin_1to2p5_ret,allin_1to2p5_mdd,allin_1to2p5_trades
W1 2019Q3-2020Q4,BTC,23006,504,1.0383823913564907,43.359375,8.150619763643153,27.366962729331263,256,1.080752576911293,40.24896265560166,26.86026755894003,20.88715705834566,242
W2 2021Q1-2022Q1,BTC,21793,563,0.3251544204090259,27.027027027027028,-104.08976269544993,105.77180356912062,38,0.34862997550612274,24.324324324324326,-100.68405187468798,100.93986859840074,38
W3 2022Q2-2023Q3,BTC,21841,550,1.2201442253459593,37.455830388692576,104.53028257375988,27.61553423812697,283,1.370593896528733,34.831460674157306,166.4026908277596,20.948213240887235,267
W4 2023Q4-2024Q5,BTC,20497,512,0.9385615370005749,40.0763358778626,-34.674589469945346,68.17812550660524,262,1.0290551708294895,35.96837944664031,16.487925849917666,55.03223497761691,253
W5 2024Q6-2025Q7,BTC,20401,566,0.5191361529198644,42.10526315789473,-100.775116367711,100.76432167013452,77,0.5069305375685295,35.13513513513514,-119.8360199623313,119.82116269399161,75
W6 2025Q8-2026Q9,BTC,14641,477,0.9455130646754342,37.142857142857146,-33.74015331318128,71.08408977247353,210,0.9703027325715488,34.69387755102041,-18.34541281841387,77.76278920856343,196
W1 2019Q3-2020Q4,ETH,19186,456,1.1780123355635554,41.94915254237288,1.7962011849999977,1.3739473361548575,237,1.1758240011143988,36.86635944700461,1.7658020099999963,1.6996956249570538,218
W2 2021Q1-2022Q1,ETH,21793,572,0.8883060587483573,36.29893238434164,-12.163317299999948,17.829292427317085,281,0.8294730797277478,30.74074074074074,-19.451903914999953,24.001619032385893,270
W3 2022Q2-2023Q3,ETH,21841,496,0.9851961961000988,37.97909407665505,-0.7056106149999481,7.473017686060854,287,1.0256811393210996,35.14492753623188,1.2350523950000591,8.27121095225717,276
W4 2023Q4-2024Q5,ETH,20497,534,0.7898866222072275,38.20224719101123,-13.45795813999996,15.820141154198614,268,0.8547702721142754,34.92063492063492,-9.156913449999992,14.498773423702271,253
W5 2024Q6-2025Q7,ETH,20401,504,1.0181150367587988,38.492063492063494,1.4027078749999373,15.601368803044421,252,1.033771540094514,34.72803347280335,2.618182394999972,15.486255731230372,239
W6 2025Q8-2026Q9,ETH,14641,416,1.0854456162161903,39.0625,3.162982324999998,9.193633163336512,192,1.0397076927681201,34.63687150837989,1.4888155349999987,10.604057596158608,179
