family,strategy,symbol,timeframe,n_signals,n_long,n_short,total_return_pct,winrate_pct,leg_a_return_pct,leg_b_return_pct,leg_a_winrate_pct,leg_b_winrate_pct
demon2,mmxm,BTC,1h,90,50,40,83.0080371590509,32.48462064251539,117.57310102796541,-55.252218316607184,38.961038961038966,6.578947368421052
demon2,mmxm,BTC,2h,56,21,35,164.65353670722828,42.777777777777786,230.88121928431445,-100.2571936011166,52.083333333333336,5.555555555555555
demon2,mmxm,BTC,4h,33,15,18,-46.58164022687233,22.074074074074073,-39.90670543138291,-73.28137940883,25.925925925925924,6.666666666666667
demon2,mmxm,BTC,1d,6,2,4,123.95185009648773,36.0,90.53145471002786,257.63343164232725,40.0,20.0
demon2,mmxm,ETH,1h,86,41,45,-4.886617241319966,24.918300653594773,-5.859964551619975,-0.9932280001199304,29.411764705882355,6.944444444444445
demon2,mmxm,ETH,2h,67,27,40,2.165146203104061,31.415343915343918,2.4017100400200606,1.218890855440063,37.03703703703704,8.928571428571429
demon2,mmxm,ETH,4h,38,17,21,-10.65471306126397,19.291666666666668,-11.340720907859964,-7.91068167488,23.333333333333332,3.125
demon2,mmxm,ETH,1d,6,2,4,0.10864880641599894,20.0,-3.749065728580001,15.539506946400003,20.0,20.0
demon2,po3_fractal,BTC,1h,12,4,8,-56.36863221181288,38.36363636363637,-64.48286671480375,-23.911694199849393,45.45454545454545,10.0
demon2,po3_fractal,BTC,2h,6,3,3,-72.01916553449051,0.0,-84.45973034266909,-22.256906301776183,0.0,0.0
demon2,po3_fractal,BTC,4h,7,5,2,109.2385829534893,62.85714285714286,86.44976456379226,200.39385651227755,71.42857142857143,28.57142857142857
demon2,po3_fractal,BTC,1d,0,0,0,0.0,,0.0,0.0,,
demon2,po3_fractal,ETH,1h,8,3,5,-0.13102908925998352,25.714285714285715,-0.27621536925998386,0.449716030740018,28.57142857142857,14.285714285714285
demon2,po3_fractal,ETH,2h,2,2,0,0.8040970269999941,40.0,1.043553266999993,-0.15372793300000184,50.0,0.0
demon2,po3_fractal,ETH,4h,3,2,1,2.208992741740014,26.666666666666664,2.954663181740017,-0.773689018259998,33.33333333333333,0.0
