family,strategy,symbol,timeframe,error,n_signals,n_long,n_short,total_return_pct,winrate_pct,leg_a_return_pct,leg_b_return_pct,leg_a_winrate_pct,leg_b_winrate_pct
fib_retrace,default,BTC,1h,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,BTC,2h,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,BTC,4h,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,BTC,1d,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,ETH,1h,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,ETH,2h,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,ETH,4h,local variable '_trail' referenced before assignment,,,,,,,,,
fib_retrace,default,ETH,1d,local variable '_trail' referenced before assignment,,,,,,,,,
fvg_mtf,ifvg,ETH,1d,,21.0,7.0,14.0,6.801051022480001,49.42857142857143,9.513953150720003,-4.050557490480004,60.0,7.142857142857142
fvg_mtf,fvg,BTC,1h,,167.0,77.0,90.0,-7.82540329582554,38.795180722891565,16.384458870320266,-104.66485196040878,40.963855421686745,30.120481927710845
fvg_mtf,fvg,BTC,2h,,702.0,355.0,347.0,-102.89751289466327,32.732732732732735,-102.0840769130194,-106.15125682123873,38.88888888888889,8.108108108108109
fvg_mtf,fvg,BTC,4h,,183.0,86.0,97.0,79.09589941522026,34.511406196799456,80.65207625787572,72.87119204459843,37.07865168539326,24.242424242424242
fvg_mtf,fvg,BTC,1d,,69.0,30.0,39.0,-102.81586317931954,0.0,-100.49612998670894,-112.09479594976189,0.0,0.0
fvg_mtf,fvg,ETH,1h,,165.0,88.0,77.0,0.35239532680406227,36.96969696969697,-0.2476840626599369,2.7527128846600597,38.095238095238095,32.467532467532465
fvg_mtf,fvg,ETH,2h,,647.0,321.0,326.0,-1.5919648370438977,31.096501618889675,0.05056966836008315,-8.162102858659823,35.978835978835974,11.567164179104477
fvg_mtf,fvg,ETH,4h,,131.0,67.0,64.0,9.193798607880016,37.11538461538461,8.585355505700004,11.627571016600058,40.625,23.076923076923077
fvg_mtf,fvg,ETH,1d,,58.0,29.0,29.0,-7.981898355443972,32.032085561497325,-8.053621780979972,-7.695004653299973,36.36363636363637,14.705882352941178
ictsuite,scalp_sweep,BTC,1h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,scalp_sweep,BTC,2h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
ictsuite,scalp_sweep,BTC,4h,,0.0,0.0,0.0,0.0,,0.0,0.0,,
